name,address,closed,reason,phone,website,google_maps
Smart & Final #522,"855 N Wilcox Ave, Montebello, CA",Apr 9,Vermin Infestation,(323) 888-4204,smartandfinal.com,https://www.google.com/maps/search/Smart+%26+Final+855+N+Wilcox+Ave+Montebello+CA
El Atacor Taqueria #7,"14412 Ramona Blvd, Baldwin Park, CA",Apr 9,Vermin Infestation,(626) 669-1448,taqueriaelatacorrestaurant.com,https://www.google.com/maps/search/El+Atacor+Taqueria+14412+Ramona+Blvd+Baldwin+Park+CA
Kang Nam Restaurant,"4103 W Olympic Blvd, Los Angeles, CA",Apr 9,Vermin Infestation,(323) 937-1070,kangnamrestaurant.com,https://www.google.com/maps/search/Kang+Nam+Restaurant+4103+W+Olympic+Blvd+Los+Angeles+CA
Dumpling House,"3525 W 3rd St #6, Los Angeles, CA",Apr 9,Vermin Infestation,(213) 389-3899,dumplinghouseca.com,https://www.google.com/maps/search/Dumpling+House+3525+W+3rd+St+Los+Angeles+CA
Caramelo Cafe,"1447 Valinda Ave A, La Puente, CA",Apr 9,Vermin Infestation,(626) 498-0764,caramelo.cafe,https://www.google.com/maps/search/Caramelo+Cafe+1447+Valinda+Ave+La+Puente+CA
Kwon's Restaurant,"1625 Holt Ave, Pomona, CA",Apr 9,Vermin Infestation,(909) 629-6888,,https://www.google.com/maps/search/Kwons+Restaurant+1625+Holt+Ave+Pomona+CA
La Michoacana Favorita,"7017 Atlantic Ave, Bell, CA",Apr 8,Vermin Infestation,(213) 297-7263,,https://www.google.com/maps/search/La+Michoacana+Favorita+7017+Atlantic+Ave+Bell+CA
Abhiruchi Grill,"10823 Venice Blvd, Los Angeles, CA",Apr 8,Vermin Infestation,(310) 204-2569,abhiruchigrill.com,https://www.google.com/maps/search/Abhiruchi+Grill+10823+Venice+Blvd+Los+Angeles+CA
Local Kitchen & Wine Bar,"1736 Ocean Park Blvd, Santa Monica, CA",Apr 8,Vermin Infestation,(310) 396-9007,localkitchenandwinebar.com,https://www.google.com/maps/search/Local+Kitchen+Wine+Bar+1736+Ocean+Park+Blvd+Santa+Monica+CA
Rikas Peruvian Cuisine,"3553 W 3rd St, Los Angeles, CA",Apr 8,Vermin Infestation,(213) 263-2134,,https://www.google.com/maps/search/Rikas+3553+W+3rd+St+Los+Angeles+CA
Gardena Supermarket,"1012 W Gardena Blvd, Gardena, CA",Apr 7,Vermin Infestation,(310) 324-7434,,https://www.google.com/maps/search/Gardena+Supermarket+1012+W+Gardena+Blvd+Gardena+CA
Salo Salo Grill,"2530 E Amar Rd, West Covina, CA",Apr 7,Vermin Infestation,(626) 964-4095,salosalo.com,https://www.google.com/maps/search/Salo+Salo+Grill+2530+E+Amar+Rd+West+Covina+CA
Capital Seafood,"50 N La Cienega Blvd Ste 130, Beverly Hills, CA",Apr 7,Vermin Infestation,(310) 855-1234,capitalseafoodcalifornia.com,https://www.google.com/maps/search/Capital+Seafood+50+N+La+Cienega+Blvd+Beverly+Hills+CA
La Comida Market y Panderia,"2314 E El Segundo Blvd, Compton, CA",Apr 7,Vermin Infestation,(310) 554-4455,,https://www.google.com/maps/search/La+Comida+Market+2314+E+El+Segundo+Blvd+Compton+CA
Hai Phong Noodles,"10990 Lower Azusa Rd Ste 2, El Monte, CA",Apr 7,Vermin Infestation,(626) 448-8890,,https://www.google.com/maps/search/Hai+Phong+Noodles+10990+Lower+Azusa+Rd+El+Monte+CA
Fiesta Michoacana,"4433 S Alameda St, Los Angeles, CA",Apr 6,Vermin Infestation,(323) 833-6820,fiestamichoacanadelights.com,https://www.google.com/maps/search/Fiesta+Michoacana+4433+S+Alameda+St+Los+Angeles+CA
La Maison de Creme,"265 S Robertson Blvd #2, Beverly Hills, CA",Apr 3,No Public Health Permit,(310) 855-7290,lamaisondecreme.com,https://www.google.com/maps/search/La+Maison+de+Creme+265+S+Robertson+Blvd+Beverly+Hills+CA
Shamrock Bar & Lounge,"7400 State St, Huntington Park, CA",Apr 2,Vermin Infestation,(323) 749-6276,,https://www.google.com/maps/search/Shamrock+Bar+7400+State+St+Huntington+Park+CA
